source_folder,sprite_number,x,y,width,height
01_KakaoTalk_20260818_020740723,37,307,936,86,88
01_KakaoTalk_20260818_020740723,38,398,941,104,39
01_KakaoTalk_20260818_020740723,39,398,984,104,38
02_KakaoTalk_20260818_020740723_01,1,0,1,24,2
02_KakaoTalk_20260818_020740723_01,2,25,1,5,2
02_KakaoTalk_20260818_020740723_01,3,82,1,88,87
02_KakaoTalk_20260818_020740723_01,4,317,1,78,78
02_KakaoTalk_20260818_020740723_01,5,72,3,4,10
02_KakaoTalk_20260818_020740723_01,6,77,3,4,10
02_KakaoTalk_20260818_020740723_01,7,0,4,71,70
02_KakaoTalk_20260818_020740723_01,8,179,8,22,15
02_KakaoTalk_20260818_020740723_01,9,202,10,25,13
02_KakaoTalk_20260818_020740723_01,10,228,10,25,13
02_KakaoTalk_20260818_020740723_01,11,254,10,25,13
02_KakaoTalk_20260818_020740723_01,12,280,10,25,13
02_KakaoTalk_20260818_020740723_01,13,503,11,68,68
02_KakaoTalk_20260818_020740723_01,14,72,14,8,14
02_KakaoTalk_20260818_020740723_01,15,179,24,128,64
02_KakaoTalk_20260818_020740723_01,16,414,27,30,30
02_KakaoTalk_20260818_020740723_01,17,445,27,29,30
02_KakaoTalk_20260818_020740723_01,18,475,27,26,30
02_KakaoTalk_20260818_020740723_01,19,72,29,9,14
02_KakaoTalk_20260818_020740723_01,20,396,36,12,13
02_KakaoTalk_20260818_020740723_01,21,72,44,8,30
02_KakaoTalk_20260818_020740723_01,22,396,50,16,13
02_KakaoTalk_20260818_020740723_01,23,414,58,85,85
02_KakaoTalk_20260818_020740723_01,24,396,64,14,15
02_KakaoTalk_20260818_020740723_01,25,0,75,80,80
02_KakaoTalk_20260818_020740723_01,26,317,80,88,88
02_KakaoTalk_20260818_020740723_01,27,503,80,78,78
02_KakaoTalk_20260818_020740723_01,28,82,89,96,97
02_KakaoTalk_20260818_020740723_01,29,179,89,96,97
02_KakaoTalk_20260818_020740723_01,30,299,99,16,16
02_KakaoTalk_20260818_020740723_01,31,276,100,22,15
02_KakaoTalk_20260818_020740723_01,32,276,116,32,32
02_KakaoTalk_20260818_020740723_01,33,414,144,86,86
02_KakaoTalk_20260818_020740723_01,34,276,149,37,37
02_KakaoTalk_20260818_020740723_01,35,670,153,96,46
02_KakaoTalk_20260818_020740723_01,36,0,156,81,599
02_KakaoTalk_20260818_020740723_01,37,503,159,78,78
02_KakaoTalk_20260818_020740723_01,38,317,169,88,88
02_KakaoTalk_20260818_020740723_01,39,589,183,25,30
02_KakaoTalk_20260818_020740723_01,40,624,184,38,40
02_KakaoTalk_20260818_020740723_01,41,82,187,176,54
02_KakaoTalk_20260818_020740723_01,42,259,187,54,54
02_KakaoTalk_20260818_020740723_01,43,670,201,80,80
02_KakaoTalk_20260818_020740723_01,44,751,201,80,80
02_KakaoTalk_20260818_020740723_01,45,832,201,80,80
02_KakaoTalk_20260818_020740723_01,46,914,201,80,80
02_KakaoTalk_20260818_020740723_01,47,589,214,25,30
02_KakaoTalk_20260818_020740723_01,48,625,230,38,40
02_KakaoTalk_20260818_020740723_01,49,414,231,86,86
02_KakaoTalk_20260818_020740723_01,50,503,238,84,84
02_KakaoTalk_20260818_020740723_01,51,82,242,176,54
02_KakaoTalk_20260818_020740723_01,52,259,242,54,54
02_KakaoTalk_20260818_020740723_01,53,589,245,25,248
02_KakaoTalk_20260818_020740723_01,54,317,258,94,94
02_KakaoTalk_20260818_020740723_01,55,622,277,38,40
02_KakaoTalk_20260818_020740723_01,56,679,288,64,63
02_KakaoTalk_20260818_020740723_01,57,746,288,64,63
02_KakaoTalk_20260818_020740723_01,58,812,288,64,63
02_KakaoTalk_20260818_020740723_01,59,879,288,64,63
02_KakaoTalk_20260818_020740723_01,60,944,288,64,63
02_KakaoTalk_20260818_020740723_01,61,82,297,176,54
02_KakaoTalk_20260818_020740723_01,62,259,297,54,54
02_KakaoTalk_20260818_020740723_01,63,414,318,86,86
02_KakaoTalk_20260818_020740723_01,64,503,323,84,84
02_KakaoTalk_20260818_020740723_01,65,615,323,29,30
02_KakaoTalk_20260818_020740723_01,66,86,352,221,27
02_KakaoTalk_20260818_020740723_01,67,317,353,94,94
02_KakaoTalk_20260818_020740723_01,68,615,354,57,58
02_KakaoTalk_20260818_020740723_01,69,673,355,57,57
02_KakaoTalk_20260818_020740723_01,70,731,355,57,57
02_KakaoTalk_20260818_020740723_01,71,789,355,57,57
02_KakaoTalk_20260818_020740723_01,72,847,355,57,57
02_KakaoTalk_20260818_020740723_01,73,905,355,57,57
02_KakaoTalk_20260818_020740723_01,74,963,355,57,57
02_KakaoTalk_20260818_020740723_01,75,90,376,2,1
02_KakaoTalk_20260818_020740723_01,76,82,382,208,25
02_KakaoTalk_20260818_020740723_01,77,414,405,88,88
02_KakaoTalk_20260818_020740723_01,78,82,408,124,124
02_KakaoTalk_20260818_020740723_01,79,207,408,33,12
02_KakaoTalk_20260818_020740723_01,80,241,408,22,12
02_KakaoTalk_20260818_020740723_01,81,503,408,85,85
02_KakaoTalk_20260818_020740723_01,82,631,413,3,1
02_KakaoTalk_20260818_020740723_01,83,645,413,7,2
02_KakaoTalk_20260818_020740723_01,84,272,414,21,20
02_KakaoTalk_20260818_020740723_01,85,294,414,21,20
02_KakaoTalk_20260818_020740723_01,86,643,414,1,1
02_KakaoTalk_20260818_020740723_01,87,651,415,4,2
02_KakaoTalk_20260818_020740723_01,88,616,417,58,58
02_KakaoTalk_20260818_020740723_01,89,207,421,64,13
02_KakaoTalk_20260818_020740723_01,90,677,425,68,68
02_KakaoTalk_20260818_020740723_01,91,746,425,68,68
02_KakaoTalk_20260818_020740723_01,92,815,425,68,68
02_KakaoTalk_20260818_020740723_01,93,884,425,68,68
02_KakaoTalk_20260818_020740723_01,94,615,428,1,2
02_KakaoTalk_20260818_020740723_01,95,207,435,98,97
02_KakaoTalk_20260818_020740723_01,96,953,435,57,58
02_KakaoTalk_20260818_020740723_01,97,317,448,96,97
02_KakaoTalk_20260818_020740723_01,98,55,454,2,2
02_KakaoTalk_20260818_020740723_01,99,626,478,6,8
02_KakaoTalk_20260818_020740723_01,100,617,479,8,7
02_KakaoTalk_20260818_020740723_01,101,633,479,8,7
02_KakaoTalk_20260818_020740723_01,102,643,479,7,7
02_KakaoTalk_20260818_020740723_01,103,651,479,3,7
02_KakaoTalk_20260818_020740723_01,104,656,479,8,7
02_KakaoTalk_20260818_020740723_01,105,665,479,8,7
02_KakaoTalk_20260818_020740723_01,106,414,494,172,51
02_KakaoTalk_20260818_020740723_01,107,587,494,172,51
02_KakaoTalk_20260818_020740723_01,108,968,497,48,48
02_KakaoTalk_20260818_020740723_01,109,760,511,207,34
02_KakaoTalk_20260818_020740723_01,110,82,533,234,105
02_KakaoTalk_20260818_020740723_01,111,317,546,254,92
02_KakaoTalk_20260818_020740723_01,112,572,546,18,11
02_KakaoTalk_20260818_020740723_01,113,616,547,22,12
02_KakaoTalk_20260818_020740723_01,114,702,547,18,13
02_KakaoTalk_20260818_020740723_01,115,679,548,22,12
02_KakaoTalk_20260818_020740723_01,116,842,548,33,7
02_KakaoTalk_20260818_020740723_01,117,887,548,33,7
02_KakaoTalk_20260818_020740723_01,118,793,551,18,13
02_KakaoTalk_20260818_020740723_01,119,812,551,18,13
02_KakaoTalk_20260818_020740723_01,120,641,556,18,17
02_KakaoTalk_20260818_020740723_01,121,660,556,18,17
02_KakaoTalk_20260818_020740723_01,122,842,556,44,30
02_KakaoTalk_20260818_020740723_01,123,887,556,44,30
02_KakaoTalk_20260818_020740723_01,124,725,557,16,16
02_KakaoTalk_20260818_020740723_01,125,742,557,16,16
02_KakaoTalk_20260818_020740723_01,126,759,557,16,16
02_KakaoTalk_20260818_020740723_01,127,776,557,16,16
02_KakaoTalk_20260818_020740723_01,128,932,557,43,29
02_KakaoTalk_20260818_020740723_01,129,976,557,43,29
02_KakaoTalk_20260818_020740723_01,130,572,558,21,15
02_KakaoTalk_20260818_020740723_01,131,594,558,21,15
02_KakaoTalk_20260818_020740723_01,132,616,560,24,13
02_KakaoTalk_20260818_020740723_01,133,679,561,22,12
02_KakaoTalk_20260818_020740723_01,134,702,561,22,12
02_KakaoTalk_20260818_020740723_01,135,793,565,31,8
02_KakaoTalk_20260818_020740723_01,136,572,574,260,64
02_KakaoTalk_20260818_020740723_01,137,842,587,172,51
02_KakaoTalk_20260818_020740723_01,138,314,599,2,2
02_KakaoTalk_20260818_020740723_01,139,839,630,2,2
02_KakaoTalk_20260818_020740723_01,140,82,639,426,61
02_KakaoTalk_20260818_020740723_01,141,524,639,6,6
02_KakaoTalk_20260818_020740723_01,142,531,639,6,6
02_KakaoTalk_20260818_020740723_01,143,509,640,14,5
02_KakaoTalk_20260818_020740723_01,144,921,642,57,58
02_KakaoTalk_20260818_020740723_01,145,979,642,33,58
02_KakaoTalk_20260818_020740723_01,146,509,646,411,54
02_KakaoTalk_20260818_020740723_01,147,514,662,1,1
02_KakaoTalk_20260818_020740723_01,148,544,682,1,1
02_KakaoTalk_20260818_020740723_01,149,1013,687,10,13
02_KakaoTalk_20260818_020740723_01,150,82,701,621,54
02_KakaoTalk_20260818_020740723_01,151,704,701,272,54
02_KakaoTalk_20260818_020740723_01,152,977,702,33,10
02_KakaoTalk_20260818_020740723_01,153,1011,702,12,10
02_KakaoTalk_20260818_020740723_01,154,977,713,42,42
02_KakaoTalk_20260818_020740723_01,155,697,735,5,4
02_KakaoTalk_20260818_020740723_01,156,116,756,35,63
02_KakaoTalk_20260818_020740723_01,157,523,756,4,6
02_KakaoTalk_20260818_020740723_01,158,528,756,47,27
02_KakaoTalk_20260818_020740723_01,159,576,756,47,27
02_KakaoTalk_20260818_020740723_01,160,624,756,47,27
02_KakaoTalk_20260818_020740723_01,161,672,756,47,27
02_KakaoTalk_20260818_020740723_01,162,752,756,2,2
02_KakaoTalk_20260818_020740723_01,163,755,756,4,4
02_KakaoTalk_20260818_020740723_01,164,766,756,2,4
02_KakaoTalk_20260818_020740723_01,165,269,757,253,2
02_KakaoTalk_20260818_020740723_01,166,720,757,31,8
02_KakaoTalk_20260818_020740723_01,167,999,757,12,8
02_KakaoTalk_20260818_020740723_01,168,1012,757,10,8
02_KakaoTalk_20260818_020740723_01,169,760,758,5,2
02_KakaoTalk_20260818_020740723_01,170,769,758,226,128
02_KakaoTalk_20260818_020740723_01,171,752,759,2,6
02_KakaoTalk_20260818_020740723_01,172,269,760,253,2
02_KakaoTalk_20260818_020740723_01,173,755,761,11,22
02_KakaoTalk_20260818_020740723_01,174,269,763,253,2
02_KakaoTalk_20260818_020740723_01,175,523,763,3,2
02_KakaoTalk_20260818_020740723_01,176,269,766,258,258
02_KakaoTalk_20260818_020740723_01,177,720,766,34,17
02_KakaoTalk_20260818_020740723_01,178,999,766,16,31
02_KakaoTalk_20260818_020740723_01,179,1016,766,5,2
02_KakaoTalk_20260818_020740723_01,180,995,768,3,3
02_KakaoTalk_20260818_020740723_01,181,1016,769,6,28
02_KakaoTalk_20260818_020740723_01,182,528,784,240,240
02_KakaoTalk_20260818_020740723_01,183,995,795,3,3
02_KakaoTalk_20260818_020740723_01,184,999,798,20,28
02_KakaoTalk_20260818_020740723_01,185,1020,803,3,3
02_KakaoTalk_20260818_020740723_01,186,1020,807,3,3
02_KakaoTalk_20260818_020740723_01,187,1020,811,3,3
02_KakaoTalk_20260818_020740723_01,188,1020,815,3,3
02_KakaoTalk_20260818_020740723_01,189,1020,819,3,3
02_KakaoTalk_20260818_020740723_01,190,1020,823,3,3
02_KakaoTalk_20260818_020740723_01,191,999,827,22,29
02_KakaoTalk_20260818_020740723_01,192,999,857,22,29
02_KakaoTalk_20260818_020740723_01,193,0,872,55,35
02_KakaoTalk_20260818_020740723_01,194,211,873,57,34
02_KakaoTalk_20260818_020740723_01,195,769,887,225,137
02_KakaoTalk_20260818_020740723_01,196,995,888,21,20
02_KakaoTalk_20260818_020740723_01,197,1017,889,6,6
02_KakaoTalk_20260818_020740723_01,198,1017,896,4,12
02_KakaoTalk_20260818_020740723_01,199,995,909,26,30
02_KakaoTalk_20260818_020740723_01,200,995,940,25,41
02_KakaoTalk_20260818_020740723_01,201,334,949,1,1
02_KakaoTalk_20260818_020740723_01,202,449,954,2,1
02_KakaoTalk_20260818_020740723_01,203,117,969,34,55
02_KakaoTalk_20260818_020740723_01,204,1021,975,2,6
02_KakaoTalk_20260818_020740723_01,205,995,982,25,42
02_KakaoTalk_20260818_020740723_01,206,1021,983,2,6
02_KakaoTalk_20260818_020740723_01,207,1021,990,2,6
02_KakaoTalk_20260818_020740723_01,208,1021,997,2,6
02_KakaoTalk_20260818_020740723_01,209,1021,1004,2,6
02_KakaoTalk_20260818_020740723_01,210,1021,1011,2,5
02_KakaoTalk_20260818_020740723_01,211,1021,1019,2,5
03_KakaoTalk_20260818_020740723_02,1,0,748,26,31
03_KakaoTalk_20260818_020740723_02,3,0,815,28,31
03_KakaoTalk_20260818_020740723_02,4,0,847,28,31
03_KakaoTalk_20260818_020740723_02,5,0,879,28,31
03_KakaoTalk_20260818_020740723_02,6,0,911,28,31
03_KakaoTalk_20260818_020740723_02,7,0,943,26,34
03_KakaoTalk_20260818_020740723_02,8,21,945,1,16
03_KakaoTalk_20260818_020740723_02,9,24,946,1,15
03_KakaoTalk_20260818_020740723_02,10,0,978,29,31
03_KakaoTalk_20260818_020740723_02,11,0,1010,30,30
03_KakaoTalk_20260818_020740723_02,12,31,1010,29,30
03_KakaoTalk_20260818_020740723_02,13,93,1010,28,30
03_KakaoTalk_20260818_020740723_02,14,152,1011,28,29
03_KakaoTalk_20260818_020740723_02,15,63,1012,29,14
03_KakaoTalk_20260818_020740723_02,16,122,1012,29,28
03_KakaoTalk_20260818_020740723_02,17,181,1012,29,28
03_KakaoTalk_20260818_020740723_02,18,211,1012,29,28
03_KakaoTalk_20260818_020740723_02,19,241,1012,28,28
03_KakaoTalk_20260818_020740723_02,20,270,1013,28,27
03_KakaoTalk_20260818_020740723_02,21,330,1013,27,27
03_KakaoTalk_20260818_020740723_02,22,358,1013,27,27
03_KakaoTalk_20260818_020740723_02,23,386,1014,28,26
03_KakaoTalk_20260818_020740723_02,24,299,1015,30,25
03_KakaoTalk_20260818_020740723_02,26,599,1015,26,25
03_KakaoTalk_20260818_020740723_02,27,655,1015,25,25
03_KakaoTalk_20260818_020740723_02,28,449,1017,30,23
03_KakaoTalk_20260818_020740723_02,29,480,1017,30,23
03_KakaoTalk_20260818_020740723_02,30,511,1017,30,23
03_KakaoTalk_20260818_020740723_02,31,542,1017,29,23
03_KakaoTalk_20260818_020740723_02,32,629,1017,24,23
03_KakaoTalk_20260818_020740723_02,33,681,1017,27,23
03_KakaoTalk_20260818_020740723_02,34,767,1017,24,23
03_KakaoTalk_20260818_020740723_02,35,792,1017,20,23
03_KakaoTalk_20260818_020740723_02,36,415,1018,27,22
03_KakaoTalk_20260818_020740723_02,37,709,1020,28,20
03_KakaoTalk_20260818_020740723_02,38,738,1020,28,20
03_KakaoTalk_20260818_020740723_02,39,61,1021,30,19
03_KakaoTalk_20260818_020740723_02,40,447,1027,1,1
03_KakaoTalk_20260818_020740723_02,41,447,1031,1,3
03_KakaoTalk_20260818_020740723_02,42,126,1032,1,1
03_KakaoTalk_20260818_020740723_02,43,185,1032,1,1
03_KakaoTalk_20260818_020740723_02,44,215,1032,1,1
03_KakaoTalk_20260818_020740723_02,45,626,1032,1,1
03_KakaoTalk_20260818_020740723_02,46,653,1032,1,1
03_KakaoTalk_20260818_020740723_02,47,0,1041,31,35
03_KakaoTalk_20260818_020740723_02,48,32,1041,31,35
03_KakaoTalk_20260818_020740723_02,49,198,1042,28,36
03_KakaoTalk_20260818_020740723_02,50,227,1042,28,36
03_KakaoTalk_20260818_020740723_02,51,256,1042,28,36
03_KakaoTalk_20260818_020740723_02,52,484,1043,28,35
03_KakaoTalk_20260818_020740723_02,53,702,1043,27,35
03_KakaoTalk_20260818_020740723_02,55,64,1045,31,33
03_KakaoTalk_20260818_020740723_02,56,96,1045,31,33
03_KakaoTalk_20260818_020740723_02,57,383,1045,30,33
03_KakaoTalk_20260818_020740723_02,58,285,1046,31,32
03_KakaoTalk_20260818_020740723_02,59,317,1046,31,32
03_KakaoTalk_20260818_020740723_02,60,642,1046,30,32
03_KakaoTalk_20260818_020740723_02,61,513,1047,31,31
03_KakaoTalk_20260818_020740723_02,62,545,1047,31,31
03_KakaoTalk_20260818_020740723_02,63,577,1047,31,31
03_KakaoTalk_20260818_020740723_02,64,762,1047,30,31
03_KakaoTalk_20260818_020740723_02,65,793,1047,30,31
03_KakaoTalk_20260818_020740723_02,66,128,1048,34,30
03_KakaoTalk_20260818_020740723_02,67,163,1048,29,30
03_KakaoTalk_20260818_020740723_02,68,349,1048,33,30
03_KakaoTalk_20260818_020740723_02,69,609,1048,32,30
03_KakaoTalk_20260818_020740723_02,70,730,1048,31,30
03_KakaoTalk_20260818_020740723_02,71,824,1048,31,30
03_KakaoTalk_20260818_020740723_02,72,856,1048,31,30
03_KakaoTalk_20260818_020740723_02,73,888,1048,31,30
03_KakaoTalk_20260818_020740723_02,74,920,1048,30,30
03_KakaoTalk_20260818_020740723_02,75,951,1048,30,30
03_KakaoTalk_20260818_020740723_02,76,982,1048,30,30
03_KakaoTalk_20260818_020740723_02,77,414,1049,34,29
03_KakaoTalk_20260818_020740723_02,78,449,1049,34,29
03_KakaoTalk_20260818_020740723_02,79,195,1054,2,6
03_KakaoTalk_20260818_020740723_02,80,0,1077,1,1
03_KakaoTalk_20260818_020740723_02,81,2,1077,3,1
03_KakaoTalk_20260818_020740723_02,82,32,1077,1,1
03_KakaoTalk_20260818_020740723_02,83,34,1077,3,1
03_KakaoTalk_20260818_020740723_02,84,0,1079,32,36
03_KakaoTalk_20260818_020740723_02,85,33,1079,32,36
03_KakaoTalk_20260818_020740723_02,87,99,1079,31,36
03_KakaoTalk_20260818_020740723_02,88,131,1079,31,36
03_KakaoTalk_20260818_020740723_02,89,163,1079,31,36
03_KakaoTalk_20260818_020740723_02,90,195,1079,31,36
03_KakaoTalk_20260818_020740723_02,91,227,1079,31,36
03_KakaoTalk_20260818_020740723_02,92,259,1079,31,36
03_KakaoTalk_20260818_020740723_02,93,291,1079,31,36
03_KakaoTalk_20260818_020740723_02,94,631,1081,31,34
03_KakaoTalk_20260818_020740723_02,95,360,1082,32,33
03_KakaoTalk_20260818_020740723_02,96,461,1082,32,33
03_KakaoTalk_20260818_020740723_02,97,494,1082,32,33
03_KakaoTalk_20260818_020740723_02,98,907,1082,31,33
03_KakaoTalk_20260818_020740723_02,99,939,1082,31,33
03_KakaoTalk_20260818_020740723_02,100,393,1083,33,32
03_KakaoTalk_20260818_020740723_02,101,427,1083,16,32
03_KakaoTalk_20260818_020740723_02,102,444,1083,16,32
03_KakaoTalk_20260818_020740723_02,103,527,1083,33,32
03_KakaoTalk_20260818_020740723_02,104,808,1083,32,32
03_KakaoTalk_20260818_020740723_02,106,874,1083,32,32
03_KakaoTalk_20260818_020740723_02,108,596,1084,34,31
03_KakaoTalk_20260818_020740723_02,110,971,1084,33,31
03_KakaoTalk_20260818_020740723_02,112,698,1085,35,30
03_KakaoTalk_20260818_020740723_02,115,1005,1092,8,23
03_KakaoTalk_20260818_020740723_02,116,0,1116,33,35
03_KakaoTalk_20260818_020740723_02,117,34,1116,33,35
03_KakaoTalk_20260818_020740723_02,118,55,1116,4,2
03_KakaoTalk_20260818_020740723_02,119,211,1116,32,35
03_KakaoTalk_20260818_020740723_02,120,797,1116,31,35
03_KakaoTalk_20260818_020740723_02,121,866,1116,6,4
03_KakaoTalk_20260818_020740723_02,122,897,1116,31,35
03_KakaoTalk_20260818_020740723_02,123,929,1116,27,35
03_KakaoTalk_20260818_020740723_02,125,663,1117,32,34
03_KakaoTalk_20260818_020740723_02,127,764,1117,32,34
03_KakaoTalk_20260818_020740723_02,129,391,1118,33,33
03_KakaoTalk_20260818_020740723_02,130,425,1118,33,33
03_KakaoTalk_20260818_020740723_02,131,459,1118,33,33
03_KakaoTalk_20260818_020740723_02,134,561,1118,33,33
03_KakaoTalk_20260818_020740723_02,135,595,1118,33,33
03_KakaoTalk_20260818_020740723_02,136,629,1118,33,33
03_KakaoTalk_20260818_020740723_02,137,103,1119,35,32
03_KakaoTalk_20260818_020740723_02,139,175,1119,35,32
03_KakaoTalk_20260818_020740723_02,140,244,1119,35,32
03_KakaoTalk_20260818_020740723_02,141,729,1119,34,32
03_KakaoTalk_20260818_020740723_02,142,280,1120,36,31
03_KakaoTalk_20260818_020740723_02,143,317,1120,36,31
03_KakaoTalk_20260818_020740723_02,144,354,1120,36,31
03_KakaoTalk_20260818_020740723_02,145,791,1120,1,13
03_KakaoTalk_20260818_020740723_02,146,829,1120,35,31
03_KakaoTalk_20260818_020740723_02,148,952,1122,8,9
03_KakaoTalk_20260818_020740723_02,150,525,1129,1,1
03_KakaoTalk_20260818_020740723_02,151,559,1129,1,1
03_KakaoTalk_20260818_020740723_02,153,35,1152,34,34
03_KakaoTalk_20260818_020740723_02,154,70,1152,34,34
03_KakaoTalk_20260818_020740723_02,155,105,1152,34,34
03_KakaoTalk_20260818_020740723_02,156,140,1152,34,34
03_KakaoTalk_20260818_020740723_02,157,175,1152,34,34
03_KakaoTalk_20260818_020740723_02,158,210,1152,34,34
03_KakaoTalk_20260818_020740723_02,159,245,1152,34,34
03_KakaoTalk_20260818_020740723_02,160,280,1152,34,34
03_KakaoTalk_20260818_020740723_02,162,350,1152,34,34
03_KakaoTalk_20260818_020740723_02,163,750,1152,33,34
03_KakaoTalk_20260818_020740723_02,165,993,1152,30,34
03_KakaoTalk_20260818_020740723_02,167,421,1153,35,33
03_KakaoTalk_20260818_020740723_02,169,715,1153,34,33
03_KakaoTalk_20260818_020740723_02,170,784,1153,34,33
03_KakaoTalk_20260818_020740723_02,171,819,1153,34,33
03_KakaoTalk_20260818_020740723_02,174,958,1153,34,33
03_KakaoTalk_20260818_020740723_02,175,493,1154,36,32
03_KakaoTalk_20260818_020740723_02,176,530,1154,36,32
03_KakaoTalk_20260818_020740723_02,177,567,1154,36,32
03_KakaoTalk_20260818_020740723_02,178,609,1154,31,32
03_KakaoTalk_20260818_020740723_02,179,641,1154,36,32
03_KakaoTalk_20260818_020740723_02,181,604,1163,2,12
03_KakaoTalk_20260818_020740723_02,183,463,1188,33,36
03_KakaoTalk_20260818_020740723_02,184,534,1188,33,36
03_KakaoTalk_20260818_020740723_02,185,568,1188,33,36
03_KakaoTalk_20260818_020740723_02,186,713,1188,33,36
03_KakaoTalk_20260818_020740723_02,188,781,1188,33,36
03_KakaoTalk_20260818_020740723_02,189,852,1188,33,36
03_KakaoTalk_20260818_020740723_02,190,886,1188,33,36
03_KakaoTalk_20260818_020740723_02,191,920,1188,33,36
03_KakaoTalk_20260818_020740723_02,192,991,1188,32,36
03_KakaoTalk_20260818_020740723_02,195,212,1189,34,35
03_KakaoTalk_20260818_020740723_02,196,34,1190,35,34
03_KakaoTalk_20260818_020740723_02,197,105,1190,35,34
03_KakaoTalk_20260818_020740723_02,198,176,1190,35,34
03_KakaoTalk_20260818_020740723_02,199,247,1190,35,34
03_KakaoTalk_20260818_020740723_02,200,283,1190,35,34
03_KakaoTalk_20260818_020740723_02,201,319,1190,35,34
03_KakaoTalk_20260818_020740723_02,202,355,1190,35,34
03_KakaoTalk_20260818_020740723_02,203,391,1190,35,34
03_KakaoTalk_20260818_020740723_02,204,402,1190,3,3
03_KakaoTalk_20260818_020740723_02,205,427,1190,35,34
03_KakaoTalk_20260818_020740723_02,206,414,1191,3,2
03_KakaoTalk_20260818_020740723_02,207,503,1191,24,2
03_KakaoTalk_20260818_020740723_02,208,602,1191,36,33
03_KakaoTalk_20260818_020740723_02,210,676,1191,36,33
03_KakaoTalk_20260818_020740723_02,212,954,1191,36,33
03_KakaoTalk_20260818_020740723_02,214,32,1199,1,3
03_KakaoTalk_20260818_020740723_02,215,392,1202,4,6
03_KakaoTalk_20260818_020740723_02,216,70,1213,4,6
03_KakaoTalk_20260818_020740723_02,217,353,1215,1,1
03_KakaoTalk_20260818_020740723_02,218,521,1223,1,1
03_KakaoTalk_20260818_020740723_02,223,140,1225,34,36
03_KakaoTalk_20260818_020740723_02,225,210,1225,34,36
03_KakaoTalk_20260818_020740723_02,227,280,1225,34,36
03_KakaoTalk_20260818_020740723_02,230,385,1225,34,36
03_KakaoTalk_20260818_020740723_02,231,457,1225,34,36
03_KakaoTalk_20260818_020740723_02,234,824,1226,34,35
03_KakaoTalk_20260818_020740723_02,237,420,1227,36,34
03_KakaoTalk_20260818_020740723_02,238,492,1227,36,34
03_KakaoTalk_20260818_020740723_02,239,529,1227,36,34
03_KakaoTalk_20260818_020740723_02,240,601,1227,36,34
03_KakaoTalk_20260818_020740723_02,241,753,1227,35,34
03_KakaoTalk_20260818_020740723_02,243,895,1227,35,34
03_KakaoTalk_20260818_020740723_02,245,676,1228,37,33
03_KakaoTalk_20260818_020740723_02,246,714,1229,38,32
03_KakaoTalk_20260818_020740723_02,247,1001,1230,20,31
03_KakaoTalk_20260818_020740723_02,248,247,1233,3,4
03_KakaoTalk_20260818_020740723_02,252,108,1262,35,35
03_KakaoTalk_20260818_020740723_02,253,144,1262,35,35
03_KakaoTalk_20260818_020740723_02,254,180,1262,35,35
03_KakaoTalk_20260818_020740723_02,256,252,1262,35,35
03_KakaoTalk_20260818_020740723_02,260,396,1263,36,34
03_KakaoTalk_20260818_020740723_02,261,433,1263,36,34
03_KakaoTalk_20260818_020740723_02,262,470,1263,36,34
03_KakaoTalk_20260818_020740723_02,263,507,1263,36,34
03_KakaoTalk_20260818_020740723_02,264,544,1263,36,34
